Symbol,Date,Time,Type,RVOL,Max_Gain_30m,Final_PnL_30m,Is_Win
BAJAJ-AUTO,2025-11-27,2025-11-27 11:55:00+05:30,SHORT,1.4505331394644372,0.11613759539873907,-0.02765180842827121,False
BAJAJ-AUTO,2025-12-03,2025-12-03 12:40:00+05:30,SHORT,2.4844977263331955,0.08930564858227283,-0.2455905336012503,False
BRITANNIA,2025-11-19,2025-11-19 11:55:00+05:30,LONG,0.8349800101098296,0.20453383330492586,-0.06817794443497528,False
BRITANNIA,2025-11-20,2025-11-20 12:05:00+05:30,SHORT,5.107276189333853,0.3270223752151463,0.21514629948364886,True
BRITANNIA,2025-11-25,2025-11-25 14:05:00+05:30,LONG,0.9702714019260782,0.20491803278688525,0.1878415300546448,True
BRITANNIA,2025-11-27,2025-11-27 12:00:00+05:30,SHORT,0.8891607075649229,0.1881628463906945,0.09408142319534725,True
BRITANNIA,2025-12-01,2025-12-01 14:45:00+05:30,SHORT,0.47870233304839144,0.14633726435396402,-0.14633726435396402,False
BRITANNIA,2025-12-02,2025-12-02 14:30:00+05:30,LONG,1.6021072932100944,0.36705078958600085,0.15364916773367476,True
HDFCBANK,2025-11-20,2025-11-20 12:25:00+05:30,LONG,2.874050376684465,0.7594683721394933,0.5046467472769015,True
HDFCBANK,2025-11-24,2025-11-24 14:40:00+05:30,LONG,0.5611169303681057,0.06960326140995643,-0.7805508600974468,False
HDFCBANK,2025-11-25,2025-11-25 15:00:00+05:30,SHORT,3.4622902369944137,0.17166515197414237,0.08583257598706544,True
