Symbol,Date,Type,Zone,RVOL,Entry,Exit,Reason,Spot_PnL,Option_PnL,Total_Profit
M&M,2025-12-02,SHORT,GOLD,2.264249339238376,3714.0,3723.6,Time Limit (60m),-9.599999999999909,-4.7999999999999545,-1679.999999999984
GRASIM,2025-11-18,SHORT,QUIET,1.2391781757844909,2771.9,2755.0,EOD,16.90000000000009,8.450000000000045,4013.750000000022
GRASIM,2025-11-21,SHORT,QUIET,1.1615910869510337,2740.9,2751.0,Time Limit (60m),-10.099999999999909,-5.0499999999999545,-2398.749999999978
GRASIM,2025-11-24,SHORT,QUIET,1.0659399854241263,2719.3,2718.0,Time Limit (60m),1.300000000000182,0.650000000000091,308.7500000000432
GRASIM,2025-12-01,SHORT,GOLD,1.928664225817881,2727.2,2726.5,Time Limit (60m),0.6999999999998181,0.34999999999990905,166.2499999999568
GRASIM,2025-12-03,SHORT,QUIET,1.2283083790570073,2715.5,2725.1,Time Limit (60m),-9.599999999999909,-4.7999999999999545,-2279.999999999978
ONGC,2025-11-18,SHORT,QUIET,1.4600023520314191,247.1,247.1,Time Limit (60m),0.0,0.0,0.0
ONGC,2025-11-19,LONG,GOLD,1.8453867099470398,249.1,249.55,Time Limit (60m),0.45000000000001705,0.22500000000000853,866.2500000000329
ONGC,2025-11-24,SHORT,QUIET,1.4965057075655566,245.15,246.37574999999998,SL Hit,-1.2257499999999766,-0.6128749999999883,-2359.568749999955
ONGC,2025-11-26,LONG,GOLD,2.081606705331217,247.25,247.55,Time Limit (60m),0.30000000000001137,0.15000000000000568,577.5000000000218
ONGC,2025-12-01,LONG,QUIET,1.3022178317008015,244.89,244.35,EOD,-0.539999999999992,-0.269999999999996,-1039.4999999999848
