Date,OptionSymbol,Low,High,MaxReturn%,Volume
2025-12-24,RELIANCE25DEC1560PE,3.45,9.35,171.0,8004000.0
2025-12-24,RVNL25DEC345CE,2.95,7.4,150.8,12738000.0
2025-12-24,RVNL25DEC345PE,3.7,10.05,171.6,5308875.0
2025-12-24,SAIL25DEC131CE,1.6,3.8,137.5,427700.0
2025-12-24,SAIL25DEC131PE,0.6,1.26,110.0,1461700.0
2025-12-24,SAMMAANCAP25DEC140CE,2.5,4.0,60.0,25800.0
2025-12-24,SAMMAANCAP25DEC140PE,0.4,1.26,215.0,283800.0
2025-12-24,SBICARD25DEC870CE,7.05,16.8,138.3,718400.0
2025-12-24,SBICARD25DEC870PE,3.5,11.35,224.3,934400.0
2025-12-24,SBILIFE25DEC2020CE,12.25,18.0,46.9,291375.0
2025-12-24,SBILIFE25DEC2020PE,5.55,9.45,70.3,313500.0
2025-12-24,SBIN25DEC970CE,4.55,10.5,130.8,5452500.0
2025-12-24,SBIN25DEC970PE,2.9,5.6,93.1,8004000.0
2025-12-24,SHREECEM25DEC26250CE,81.15,182.85,125.3,10900.0
2025-12-24,SHRIRAMFIN25DEC970CE,7.65,20.05,162.1,15655200.0
2025-12-24,SHRIRAMFIN25DEC970PE,7.8,17.6,125.6,11776050.0
2025-12-24,SIEMENS25DEC3100CE,24.0,64.5,168.8,305375.0
2025-12-24,SIEMENS25DEC3100PE,10.95,28.05,156.2,310250.0
2025-12-24,SOLARINDS25DEC12500CE,125.05,290.0,131.9,153825.0
2025-12-24,SOLARINDS25DEC12500PE,85.3,179.0,109.8,190500.0
2025-12-24,SONACOMS25DEC485CE,4.45,9.0,102.2,882000.0
2025-12-24,SONACOMS25DEC485PE,3.75,6.5,73.3,368550.0
2025-12-24,SRF25DEC3100CE,16.05,33.6,109.3,514600.0
2025-12-24,SRF25DEC3100PE,20.6,35.3,71.4,297600.0
2025-12-24,SUNPHARMA25DEC1740CE,9.0,24.65,173.9,3014200.0
2025-12-24,SUNPHARMA25DEC1740PE,6.05,27.05,347.1,1729700.0
2025-12-24,SUPREMEIND25DEC3350CE,16.3,46.8,187.1,124950.0
2025-12-24,SUPREMEIND25DEC3350PE,22.85,50.5,121.0,41825.0
2025-12-24,SUZLON25DEC53CE,0.69,2.27,229.0,10792000.0
